ChargePeriodStart,ChargePeriodEnd,BillingCurrency,EffectiveCost,BilledCost,ChargeCategory,ChargeDescription,ServiceName,ServiceCategory,RegionId,SubAccountId,ResourceId,ResourceType,SkuId,PricingQuantity,PricingUnit
2024-09-01T23:00:00.000Z,2024-09-02T00:00:00.000Z,USD,7.29,7.29,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,18225000,Requests
2024-09-02T00:00:00.000Z,2024-09-02T01:00:00.000Z,USD,11.92,11.92,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,29800000,Requests
2024-09-02T01:00:00.000Z,2024-09-02T02:00:00.000Z,USD,11.94,11.94,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,29850000,Requests
2024-09-02T02:00:00.000Z,2024-09-02T03:00:00.000Z,USD,11.79,11.79,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,29475000,Requests
2024-09-02T03:00:00.000Z,2024-09-02T04:00:00.000Z,USD,6.83,6.83,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,17075000,Requests
2024-09-02T04:00:00.000Z,2024-09-02T05:00:00.000Z,USD,12.15,12.15,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,30375000,Requests
2024-09-02T05:00:00.000Z,2024-09-02T06:00:00.000Z,USD,15.57,15.57,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,38925000,Requests
2024-09-02T06:00:00.000Z,2024-09-02T07:00:00.000Z,USD,10.06,10.06,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,25150000,Requests
2024-09-02T07:00:00.000Z,2024-09-02T08:00:00.000Z,USD,18.55,18.55,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,46375000,Requests
2024-09-02T08:00:00.000Z,2024-09-02T09:00:00.000Z,USD,28.19,28.19,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,70475000,Requests
2024-09-02T09:00:00.000Z,2024-09-02T10:00:00.000Z,USD,16.93,16.93,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,42325000,Requests
2024-09-02T10:00:00.000Z,2024-09-02T11:00:00.000Z,USD,21.23,21.23,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,53075000,Requests
2024-09-02T11:00:00.000Z,2024-09-02T12:00:00.000Z,USD,17.72,17.72,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,44300000,Requests
2024-09-02T12:00:00.000Z,2024-09-02T13:00:00.000Z,USD,18.45,18.45,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,46125000,Requests
2024-09-02T13:00:00.000Z,2024-09-02T14:00:00.000Z,USD,14.56,14.56,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,36400000,Requests
2024-09-02T14:00:00.000Z,2024-09-02T15:00:00.000Z,USD,12.44,12.44,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,31100000,Requests
2024-09-02T15:00:00.000Z,2024-09-02T16:00:00.000Z,USD,32.63,32.63,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,81575000,Requests
2024-09-02T16:00:00.000Z,2024-09-02T17:00:00.000Z,USD,35.07,35.07,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,87675000,Requests
2024-09-02T17:00:00.000Z,2024-09-02T18:00:00.000Z,USD,28.33,28.33,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,70825000,Requests
2024-09-02T18:00:00.000Z,2024-09-02T19:00:00.000Z,USD,13.22,13.22,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,33050000,Requests
2024-09-02T19:00:00.000Z,2024-09-02T20:00:00.000Z,USD,13.75,13.75,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,34375000,Requests
2024-09-02T20:00:00.000Z,2024-09-02T21:00:00.000Z,USD,13.03,13.03,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,32575000,Requests
2024-09-02T21:00:00.000Z,2024-09-02T22:00:00.000Z,USD,17.07,17.07,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,42675000,Requests
2024-09-02T22:00:00.000Z,2024-09-02T23:00:00.000Z,USD,10.16,10.16,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,25400000,Requests
2024-09-02T23:00:00.000Z,2024-09-03T00:00:00.000Z,USD,8.03,8.03,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,20075000,Requests
2024-09-03T00:00:00.000Z,2024-09-03T01:00:00.000Z,USD,16.58,16.58,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,41450000,Requests
2024-09-03T01:00:00.000Z,2024-09-03T02:00:00.000Z,USD,13.82,13.82,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,34550000,Requests
2024-09-03T02:00:00.000Z,2024-09-03T03:00:00.000Z,USD,17.15,17.15,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,42875000,Requests
2024-09-03T03:00:00.000Z,2024-09-03T04:00:00.000Z,USD,11.13,11.13,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,27825000,Requests
2024-09-03T04:00:00.000Z,2024-09-03T05:00:00.000Z,USD,10.56,10.56,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,26400000,Requests
2024-09-03T05:00:00.000Z,2024-09-03T06:00:00.000Z,USD,17.74,17.74,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,44350000,Requests
2024-09-03T06:00:00.000Z,2024-09-03T07:00:00.000Z,USD,18.11,18.11,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,45275000,Requests
2024-09-03T07:00:00.000Z,2024-09-03T08:00:00.000Z,USD,17.47,17.47,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,43675000,Requests
2024-09-03T08:00:00.000Z,2024-09-03T09:00:00.000Z,USD,18.64,18.64,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,46600000,Requests
2024-09-03T09:00:00.000Z,2024-09-03T10:00:00.000Z,USD,30.66,30.66,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,76650000,Requests
2024-09-03T10:00:00.000Z,2024-09-03T11:00:00.000Z,USD,25.69,25.69,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,64225000,Requests
2024-09-03T11:00:00.000Z,2024-09-03T12:00:00.000Z,USD,32.56,32.56,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,81400000,Requests
2024-09-03T12:00:00.000Z,2024-09-03T13:00:00.000Z,USD,29.59,29.59,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,73975000,Requests
2024-09-03T13:00:00.000Z,2024-09-03T14:00:00.000Z,USD,25.61,25.61,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,64025000,Requests
2024-09-03T14:00:00.000Z,2024-09-03T15:00:00.000Z,USD,28.29,28.29,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,70725000,Requests
2024-09-03T15:00:00.000Z,2024-09-03T16:00:00.000Z,USD,16.88,16.88,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,42200000,Requests
2024-09-03T16:00:00.000Z,2024-09-03T17:00:00.000Z,USD,29.65,29.65,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,74125000,Requests
2024-09-03T17:00:00.000Z,2024-09-03T18:00:00.000Z,USD,24,24,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,60000000,Requests
2024-09-03T18:00:00.000Z,2024-09-03T19:00:00.000Z,USD,31.08,31.08,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,77700000,Requests
2024-09-03T19:00:00.000Z,2024-09-03T20:00:00.000Z,USD,19.7,19.7,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,49250000,Requests
2024-09-03T20:00:00.000Z,2024-09-03T21:00:00.000Z,USD,10.31,10.31,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,25775000,Requests
2024-09-03T21:00:00.000Z,2024-09-03T22:00:00.000Z,USD,6.4,6.4,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,16000000,Requests
2024-09-03T22:00:00.000Z,2024-09-03T23:00:00.000Z,USD,14.85,14.85,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,37125000,Requests
2024-09-03T23:00:00.000Z,2024-09-04T00:00:00.000Z,USD,12.87,12.87,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,32175000,Requests
2024-09-04T00:00:00.000Z,2024-09-04T01:00:00.000Z,USD,9.75,9.75,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,24375000,Requests
2024-09-04T01:00:00.000Z,2024-09-04T02:00:00.000Z,USD,10.67,10.67,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,26675000,Requests
2024-09-04T02:00:00.000Z,2024-09-04T03:00:00.000Z,USD,17.22,17.22,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,43050000,Requests
2024-09-04T03:00:00.000Z,2024-09-04T04:00:00.000Z,USD,17.78,17.78,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,44450000,Requests
2024-09-04T04:00:00.000Z,2024-09-04T05:00:00.000Z,USD,8.83,8.83,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,22075000,Requests
2024-09-04T05:00:00.000Z,2024-09-04T06:00:00.000Z,USD,17.78,17.78,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,44450000,Requests
2024-09-04T06:00:00.000Z,2024-09-04T07:00:00.000Z,USD,7.65,7.65,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,19125000,Requests
2024-09-04T07:00:00.000Z,2024-09-04T08:00:00.000Z,USD,11.12,11.12,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,27800000,Requests
2024-09-04T08:00:00.000Z,2024-09-04T09:00:00.000Z,USD,23.21,23.21,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,58025000,Requests
2024-09-04T09:00:00.000Z,2024-09-04T10:00:00.000Z,USD,14.77,14.77,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,36925000,Requests
2024-09-04T10:00:00.000Z,2024-09-04T11:00:00.000Z,USD,15.62,15.62,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,39050000,Requests
2024-09-04T11:00:00.000Z,2024-09-04T12:00:00.000Z,USD,19.81,19.81,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,49525000,Requests
2024-09-04T12:00:00.000Z,2024-09-04T13:00:00.000Z,USD,33.65,33.65,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,84125000,Requests
2024-09-04T13:00:00.000Z,2024-09-04T14:00:00.000Z,USD,14.22,14.22,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,35550000,Requests
2024-09-04T14:00:00.000Z,2024-09-04T15:00:00.000Z,USD,26.61,26.61,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,66525000,Requests
2024-09-04T15:00:00.000Z,2024-09-04T16:00:00.000Z,USD,34.89,34.89,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,87225000,Requests
2024-09-04T16:00:00.000Z,2024-09-04T17:00:00.000Z,USD,26.92,26.92,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,67300000,Requests
2024-09-04T17:00:00.000Z,2024-09-04T18:00:00.000Z,USD,18.57,18.57,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,46425000,Requests
2024-09-04T18:00:00.000Z,2024-09-04T19:00:00.000Z,USD,13.62,13.62,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,34050000,Requests
2024-09-04T19:00:00.000Z,2024-09-04T20:00:00.000Z,USD,12.91,12.91,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,32275000,Requests
2024-09-04T20:00:00.000Z,2024-09-04T21:00:00.000Z,USD,9.35,9.35,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,23375000,Requests
2024-09-04T21:00:00.000Z,2024-09-04T22:00:00.000Z,USD,16.07,16.07,Usage,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,Storage,us-east-1,11353890204,arn:aws:s3:::prod-image-layers,bucket,ZWQ6Q48CRJXX4FXE,40175000,Requests
